Year,18-22,23-28,29-36,37-45,46-55,56-70
2008,0.914,0.873,0.8059999999999999,0.754,0.75,0.762
2009,0.917,0.8759999999999999,0.8079999999999999,0.76,0.748,0.774
2010,0.9279999999999999,0.888,0.8240000000000001,0.76,0.746,0.77
2011,0.92,0.8809999999999999,0.825,0.764,0.7490000000000001,0.774
2012,0.898,0.888,0.825,0.7709999999999999,0.752,0.774
2013,0.919,0.872,0.8220000000000001,0.773,0.754,0.774
2014,0.898,0.885,0.833,0.78,0.757,0.7759999999999999
2015,0.905,0.88,0.826,0.784,0.7609999999999999,0.778
2016,0.9129999999999999,0.875,0.835,0.7859999999999999,0.772,0.7879999999999999
2017,0.9009999999999999,0.884,0.8320000000000001,0.7879999999999999,0.77,0.79
2018,0.912,0.882,0.8320000000000001,0.7929999999999999,0.769,0.782
