Year,B.S._Degree,Highschool,M.S._Degree,No_Highschool,PhD_or_Prof,Some_College
2008,0.7829999999999999,0.752,0.8220000000000001,0.7709999999999999,0.7859999999999999,0.7559999999999999
2009,0.78,0.754,0.8270000000000001,0.782,0.7709999999999999,0.7659999999999999
2010,0.78,0.764,0.818,0.792,0.76,0.768
2011,0.7759999999999999,0.7659999999999999,0.816,0.7959999999999999,0.762,0.7759999999999999
2012,0.784,0.7659999999999999,0.821,0.787,0.785,0.772
2013,0.7859999999999999,0.7559999999999999,0.823,0.792,0.784,0.7759999999999999
2014,0.7959999999999999,0.757,0.8290000000000001,0.8,0.81,0.7709999999999999
2015,0.795,0.768,0.8240000000000001,0.794,0.812,0.774
2016,0.807,0.772,0.83,0.7959999999999999,0.847,0.7759999999999999
2017,0.804,0.772,0.84,0.7959999999999999,0.84,0.774
2018,0.8079999999999999,0.7609999999999999,0.838,0.7979999999999999,0.8640000000000001,0.768
