Year,Art,Business,Healthcare,Maintenance,Military,Production,Sales,Science,Services,Transport
2008,0.8370000000000001,0.765,0.816,0.7959999999999999,0.774,0.72,0.7290000000000001,0.8290000000000001,0.736,0.745
2009,0.843,0.764,0.8009999999999999,0.794,0.823,0.722,0.736,0.838,0.738,0.747
2010,0.835,0.76,0.799,0.8240000000000001,0.7809999999999999,0.728,0.7390000000000001,0.831,0.7440000000000001,0.768
2011,0.835,0.7559999999999999,0.813,0.821,0.782,0.74,0.742,0.8290000000000001,0.745,0.782
2012,0.841,0.77,0.818,0.821,0.8,0.726,0.74,0.833,0.748,0.765
2013,0.845,0.78,0.812,0.797,0.809,0.7340000000000001,0.74,0.82,0.752,0.76
2014,0.8490000000000001,0.782,0.826,0.8079999999999999,0.778,0.732,0.752,0.8320000000000001,0.748,0.752
2015,0.85,0.779,0.843,0.807,0.802,0.742,0.75,0.833,0.7509999999999999,0.764
2016,0.847,0.804,0.8759999999999999,0.8240000000000001,0.7659999999999999,0.7340000000000001,0.75,0.8270000000000001,0.752,0.759
2017,0.857,0.8,0.866,0.812,0.794,0.7440000000000001,0.7490000000000001,0.8340000000000001,0.746,0.774
2018,0.86,0.7979999999999999,0.893,0.7859999999999999,0.78,0.738,0.747,0.8370000000000001,0.75,0.768
