Year,Asian,Black,Hispanic,Mixed,Native,White
2008,0.852,0.847,0.805,0.8270000000000001,0.8220000000000001,0.757
2009,0.8490000000000001,0.851,0.804,0.816,0.8190000000000001,0.7609999999999999
2010,0.8490000000000001,0.855,0.812,0.82,0.831,0.7609999999999999
2011,0.863,0.8640000000000001,0.823,0.8270000000000001,0.845,0.76
2012,0.871,0.856,0.815,0.8240000000000001,0.83,0.764
2013,0.863,0.857,0.82,0.8340000000000001,0.8170000000000001,0.765
2014,0.868,0.865,0.812,0.84,0.847,0.7709999999999999
2015,0.863,0.86,0.8109999999999999,0.8390000000000001,0.8390000000000001,0.774
2016,0.879,0.857,0.8079999999999999,0.8290000000000001,0.8240000000000001,0.784
2017,0.8740000000000001,0.87,0.812,0.833,0.841,0.7829999999999999
2018,0.8740000000000001,0.862,0.8079999999999999,0.816,0.821,0.784
