Year,18-22,23-28,29-36,37-45,46-55,56-70
2008,0.37840613446528826,0.44738712625428095,0.4220077426086544,0.4221799980647261,0.4498400994774517,0.4434510986643688
2009,0.3854983428987148,0.4560270722315142,0.429683692292506,0.4278363237574567,0.4537881133828294,0.44563971691537
2010,0.3912252784723801,0.4626463473139463,0.43456437793757785,0.4297527855153203,0.4537833297936015,0.4500052381007811
2011,0.3690200879698907,0.4533676005182558,0.429813414934585,0.4285051594214849,0.4524197656647988,0.4515972570663991
2012,0.3594199053809082,0.4469120399251403,0.4297693127297258,0.4270740398978338,0.4517956119866537,0.4496125692606128
2013,0.3638810561394514,0.4468129364568372,0.4288056895381455,0.4266543849317206,0.4498773015724155,0.4492886551710081
2014,0.3674428104575164,0.4460406716992759,0.4278118730083796,0.4293766158858976,0.4484243585015643,0.4484392116612552
2015,0.3710798049978887,0.4475173194225939,0.4286024901583814,0.4293751791200117,0.44989267108150255,0.44786817831339065
2016,0.3772555909373742,0.4517339246119734,0.4308201737732014,0.4322517741189715,0.450168922295744,0.4489388910176213
2017,0.3816594486835774,0.4533129572871401,0.4338507612211511,0.4334729302635055,0.4511031038624439,0.4478651715499109
2018,0.3819640860356509,0.454615359174494,0.4347029356036027,0.4351498928297788,0.4520510849783562,0.4459569633208149
