Year,Art,Business,Healthcare,Maintenance,Military,Production,Sales,Science,Services,Transport
2008,0.6379545689890518,0.4355238994854585,0.734492679261879,0.03643891922387218,0.1129066553263874,0.26208472732779864,0.6144164080649811,0.2433204011419369,0.4740151515151515,0.12710104201211314
2009,0.6410746743411088,0.4383292324740395,0.7292044292098132,0.03758559752595538,0.12494741270509045,0.25631862282916146,0.6136274840611625,0.24793023680525966,0.4734413512429066,0.12774166571634926
2010,0.6404021576435369,0.4409333276972965,0.7276662661672203,0.038435979589414984,0.11888739344997755,0.25715336756073764,0.6104040659568107,0.2455961194791933,0.4731282712584389,0.13413838120104438
2011,0.6375037526995225,0.4451896465462099,0.7294667813373468,0.036251491770155145,0.1080856370816878,0.25506429997369195,0.6108439528732869,0.24708442701930425,0.4766871854360394,0.13136729222520108
2012,0.6385365474641129,0.4437194829473477,0.7338172382355004,0.03676513227329135,0.10630959626699127,0.25028744883410753,0.6101951651306229,0.24298377548081534,0.4734045007058302,0.13310174604625652
2013,0.6366992074050479,0.4474454628196433,0.7339827586206896,0.03770935251798562,0.10672020287404904,0.24786081003993155,0.6063537589103037,0.2429249141174546,0.4721061305507753,0.12855249060235713
2014,0.6414550293889321,0.4490584889272394,0.7386174211472463,0.03701304604754761,0.10930339138405132,0.2457708930507493,0.6027754714743211,0.24527583277180445,0.4689655172413793,0.13305381594310586
2015,0.6437295669103332,0.4532705389848247,0.7456525614637862,0.03781948402170472,0.125,0.2470185899684321,0.6015921947943532,0.2464580414136696,0.4769450237908213,0.1299344375431332
2016,0.6472582217571351,0.4554026256556062,0.7501151872388427,0.03784836712263176,0.1172129368352507,0.2528706605861644,0.6022231413023779,0.24327825043630014,0.4733015683240734,0.1333047431169054
2017,0.6461497005467521,0.4586986474561752,0.7494226153637146,0.04008003235350461,0.12007705479452055,0.2511727078891258,0.5991782562396311,0.24742428164638886,0.4758553108090836,0.1386391958129102
2018,0.6497730385274636,0.4592326260700231,0.7589284397173582,0.041239590843076414,0.11526215240925496,0.2521037817025683,0.6056452305724459,0.2529883192330084,0.4810740753049084,0.1681830946363381
