Category,Art,Business,Healthcare,Maintenance,Military,Production,Sales,Science,Services,Transport
Services,0.8190000000000001,0.6,0.5920000000000001,0.82,0.8390000000000001,0.858,0.8079999999999999,0.598,1.0,0.9229999999999999
Transport,0.909,0.634,0.6609999999999999,0.8759999999999999,0.851,0.9279999999999999,0.8640000000000001,0.615,1.062,1.0
Maintenance,0.941,0.684,0.7190000000000001,1.0,0.9209999999999999,1.0659999999999998,0.986,0.655,1.209,1.141
Production,0.935,0.67,0.685,0.95,0.9179999999999999,1.0,0.917,0.6609999999999999,1.131,1.074
Art,1.0,0.674,0.7440000000000001,0.9670000000000001,0.8859999999999999,1.021,0.914,0.667,1.1540000000000001,1.104
Sales,1.043,0.757,0.748,0.9840000000000001,0.9590000000000001,1.051,1.0,0.7559999999999999,1.206,1.126
Military,1.038,0.774,0.731,1.05,1.0,1.0979999999999999,1.004,0.775,1.232,1.183
Healthcare,1.3330000000000002,0.878,1.0,1.03,1.038,1.136,1.158,0.865,1.37,1.21
Business,1.416,1.0,1.024,1.272,1.195,1.365,1.319,0.988,1.579,1.465
Science,1.419,1.0170000000000001,1.0490000000000002,1.338,1.239,1.455,1.393,1.0,1.7069999999999999,1.5590000000000002
