,Variable,Category,Wage_m,Wage_f,Wage_Avg,Wage_Diff,Sex,Count,Year
0,SEX,Male,52285.489,51589.217,51937.353,696.272,Male,550766,2008
1,SEX,Female,40086.306,40281.571,40183.939,-195.265,Female,424155,2008
0,EDU,B.S. Degree,65632.165,60470.252,63051.208,5161.913,Male,117885,2008
1,EDU,B.S. Degree,50775.834,47895.87,49335.852,2879.964,Female,98648,2008
2,EDU,Highschool,38880.034,39445.83,39162.932,-565.796,Male,147314,2008
3,EDU,Highschool,29143.372,29697.217,29420.294,-553.845,Female,97567,2008
4,EDU,M.S. Degree,79479.944,68733.669,74106.806,10746.275,Male,44175,2008
5,EDU,M.S. Degree,63627.701,58029.759,60828.73,5597.942,Female,45366,2008
6,EDU,No Highschool,31577.126,31437.448,31507.287,139.678,Male,50313,2008
7,EDU,No Highschool,23935.09,24643.271,24289.181,-708.181,Female,21440,2008
8,EDU,PhD,100414.323,95513.025,97963.674,4901.298,Male,23410,2008
9,EDU,PhD,78036.629,75938.832,76987.73,2097.797,Female,14089,2008
10,EDU,Some College,47009.185,47128.909,47069.047,-119.724,Male,167669,2008
11,EDU,Some College,35530.725,35584.329,35557.527,-53.604,Female,147045,2008
0,JOB,Art,57901.61,51300.477,54601.044,6601.133,Male,38459,2008
1,JOB,Art,47896.09,43517.48,45706.785,4378.61,Female,67768,2008
2,JOB,Business,74968.688,71096.843,73032.766,3871.845,Male,96211,2008
3,JOB,Business,57046.334,54668.769,55857.552,2377.565,Female,74232,2008
4,JOB,Healthcare,86936.199,62329.959,74633.079,24606.24,Male,14489,2008
5,JOB,Healthcare,67917.869,53066.27,60492.07,14851.599,Female,40082,2008
6,JOB,Maintenance,40294.116,41114.193,40704.155,-820.077,Male,95645,2008
7,JOB,Maintenance,31632.268,33181.771,32407.02,-1549.503,Female,3617,2008
8,JOB,Military,42481.08,40933.676,41707.378,1547.404,Male,4172,2008
9,JOB,Military,32291.807,32221.776,32256.792,70.031,Female,531,2008
10,JOB,Production,39245.244,38279.556,38762.4,965.688,Male,53597,2008
11,JOB,Production,28241.008,27591.065,27916.037,649.943,Female,19036,2008
12,JOB,Sales,48471.503,45304.227,46887.865,3167.276,Male,90953,2008
13,JOB,Sales,35055.906,33320.85,34188.378,1735.056,Female,144931,2008
14,JOB,Science,71277.054,70683.988,70980.521,593.066,Male,51685,2008
15,JOB,Science,58959.006,58825.175,58892.091,133.831,Female,16620,2008
16,JOB,Services,36079.39,34328.645,35204.018,1750.745,Male,55544,2008
17,JOB,Services,26272.823,25582.979,25927.901,689.844,Female,50056,2008
18,JOB,Transport,37324.487,37225.843,37275.165,98.644,Male,50011,2008
19,JOB,Transport,27888.566,27675.236,27781.901,213.33,Female,7282,2008
0,RACE,Asian,59975.252,55518.261,57746.756,4456.991,Male,25278,2008
1,RACE,Asian,50300.655,48015.32,49157.988,2285.335,Female,20607,2008
2,RACE,Black,40692.623,42308.587,41500.605,-1615.964,Male,39533,2008
3,RACE,Black,34220.884,36099.636,35160.26,-1878.752,Female,46903,2008
4,RACE,Hispanic,36711.646,40216.149,38463.898,-3504.503,Male,67398,2008
5,RACE,Hispanic,29248.956,32700.585,30974.77,-3451.629,Female,42869,2008
6,RACE,Mixed,46798.748,47504.569,47151.659,-705.821,Male,6854,2008
7,RACE,Mixed,38423.361,39610.997,39017.179,-1187.636,Female,5672,2008
8,RACE,Native,40472.612,42361.585,41417.098,-1888.973,Male,3556,2008
9,RACE,Native,33217.359,34920.652,34069.006,-1703.293,Female,3324,2008
10,RACE,White,55698.91,54528.113,55113.512,1170.797,Male,408147,2008
11,RACE,White,41899.179,41539.49,41719.334,359.689,Female,304780,2008
0,AGE,18-22,23461.344,23383.23,23422.287,78.114,Male,18158,2008
1,AGE,18-22,21237.012,21562.497,21399.754,-325.485,Female,11054,2008
2,AGE,23-28,34331.699,35433.133,34882.416,-1101.434,Male,59864,2008
3,AGE,23-28,29230.464,31711.935,30471.2,-2481.471,Female,48465,2008
4,AGE,29-36,47665.554,49280.308,48472.931,-1614.754,Male,97494,2008
5,AGE,29-36,38054.911,40164.83,39109.871,-2109.919,Female,71183,2008
6,AGE,37-45,56927.871,56220.59,56574.23,707.281,Male,131372,2008
7,AGE,37-45,42666.979,42601.13,42634.054,65.849,Female,95986,2008
8,AGE,46-55,58452.382,57036.704,57744.543,1415.678,Male,150872,2008
9,AGE,46-55,43732.321,42949.878,43341.1,782.443,Female,123361,2008
10,AGE,56-70,57750.731,53513.413,55632.072,4237.318,Male,93006,2008
11,AGE,56-70,43323.502,41344.21,42333.856,1979.292,Female,74106,2008
0,DIV,East North Central,51459.116,50239.241,50849.178,1219.875,Male,85776,2008
1,DIV,East North Central,38378.632,38237.616,38308.124,141.016,Female,64941,2008
2,DIV,East South Central,47905.046,46682.13,47293.588,1222.916,Male,31709,2008
3,DIV,East South Central,35533.229,34982.98,35258.104,550.249,Female,25057,2008
4,DIV,Middle Atlantic,55931.761,55543.772,55737.766,387.989,Male,73790,2008
5,DIV,Middle Atlantic,43223.326,44092.004,43657.665,-868.678,Female,58685,2008
6,DIV,Mountain,50442.435,49563.028,50002.731,879.407,Male,40124,2008
7,DIV,Mountain,38430.52,38356.155,38393.337,74.365,Female,28415,2008
8,DIV,New England,60227.162,58786.556,59506.859,1440.606,Male,26528,2008
9,DIV,New England,45383.367,45678.65,45531.008,-295.283,Female,21239,2008
10,DIV,Pacific,55662.657,55735.537,55699.097,-72.88,Male,84673,2008
11,DIV,Pacific,44036.159,45150.967,44593.563,-1114.808,Female,61107,2008
12,DIV,South Atlantic,51436.916,50523.255,50980.086,913.661,Male,107621,2008
13,DIV,South Atlantic,40433.753,40128.87,40281.311,304.883,Female,88018,2008
14,DIV,West North Central,47737.749,47480.165,47608.957,257.584,Male,38644,2008
15,DIV,West North Central,35646.173,35716.925,35681.549,-70.752,Female,29961,2008
16,DIV,West South Central,48813.984,48311.563,48562.773,502.421,Male,61901,2008
17,DIV,West South Central,36613.543,36742.622,36678.083,-129.079,Female,46732,2008
0,SEX,Male,54107.471,53027.105,53567.288,1080.366,Male,524932,2009
1,SEX,Female,41617.345,41611.816,41614.58,5.529,Female,413556,2009
0,EDU,B.S. Degree,68290.456,62753.198,65521.827,5537.258,Male,115341,2009
1,EDU,B.S. Degree,52656.062,49482.653,51069.358,3173.409,Female,98674,2009
2,EDU,Highschool,39147.292,39635.712,39391.502,-488.42,Male,137682,2009
3,EDU,Highschool,29547.995,29806.486,29677.24,-258.491,Female,91794,2009
4,EDU,M.S. Degree,82686.594,71457.208,77071.901,11229.386,Male,44450,2009
5,EDU,M.S. Degree,66524.895,60638.46,63581.678,5886.435,Female,46933,2009
6,EDU,No Highschool,30936.445,30054.253,30495.349,882.192,Male,44307,2009
7,EDU,No Highschool,23753.863,23894.922,23824.392,-141.059,Female,19450,2009
8,EDU,PhD,107571.675,101696.284,104633.98,5875.391,Male,23947,2009
9,EDU,PhD,81742.996,79538.378,80640.687,2204.618,Female,14443,2009
10,EDU,Some College,47197.243,47041.318,47119.28,155.925,Male,159205,2009
11,EDU,Some College,36039.4,36064.687,36052.044,-25.287,Female,142262,2009
0,JOB,Art,60156.036,52841.493,56498.765,7314.543,Male,37914,2009
1,JOB,Art,50248.898,45012.567,47630.732,5236.331,Female,67718,2009
2,JOB,Business,77428.001,73316.885,75372.443,4111.116,Male,94277,2009
3,JOB,Business,58903.765,56308.966,57606.366,2594.799,Female,73574,2009
4,JOB,Healthcare,94748.743,65029.984,79889.364,29718.759,Male,15089,2009
5,JOB,Healthcare,71659.74,55035.77,63347.755,16623.97,Female,40632,2009
6,JOB,Maintenance,41277.804,41972.835,41625.32,-695.031,Male,87137,2009
7,JOB,Maintenance,32503.965,33561.792,33032.878,-1057.827,Female,3403,2009
8,JOB,Military,44355.704,42759.63,43557.667,1596.074,Male,4160,2009
9,JOB,Military,35895.855,35798.4,35847.128,97.455,Female,594,2009
10,JOB,Production,40135.137,39056.047,39595.592,1079.09,Male,48903,2009
11,JOB,Production,28971.512,28252.993,28612.252,718.519,Female,16855,2009
12,JOB,Sales,49159.205,45742.455,47450.83,3416.75,Male,87025,2009
13,JOB,Sales,35815.78,33994.906,34905.343,1820.874,Female,138211,2009
14,JOB,Science,73189.934,72661.401,72925.668,528.533,Male,49417,2009
15,JOB,Science,61079.788,61078.97,61079.379,0.818,Female,16291,2009
16,JOB,Services,36768.474,34944.354,35856.414,1824.12,Male,55117,2009
17,JOB,Services,26876.288,26017.741,26447.014,858.547,Female,49557,2009
18,JOB,Transport,37633.118,37307.733,37470.426,325.385,Male,45893,2009
19,JOB,Transport,28143.469,27825.947,27984.708,317.522,Female,6721,2009
0,RACE,Asian,62248.474,58127.143,60187.808,4121.331,Male,25046,2009
1,RACE,Asian,52447.243,49723.937,51085.59,2723.306,Female,20904,2009
2,RACE,Black,41928.829,43595.192,42762.011,-1666.363,Male,37019,2009
3,RACE,Black,35413.095,37365.23,36389.163,-1952.135,Female,45310,2009
4,RACE,Hispanic,37943.502,41032.471,39487.986,-3088.969,Male,63936,2009
5,RACE,Hispanic,29864.554,33637.625,31751.09,-3773.071,Female,42278,2009
6,RACE,Mixed,49128.257,48582.417,48855.337,545.84,Male,6540,2009
7,RACE,Mixed,39643.667,40105.41,39874.538,-461.743,Female,5660,2009
8,RACE,Native,42589.626,42668.171,42628.898,-78.545,Male,3513,2009
9,RACE,Native,34792.204,35032.812,34912.508,-240.608,Female,3137,2009
10,RACE,White,57587.811,56016,56801.906,1571.811,Male,388878,2009
11,RACE,White,43537.588,42925.275,43231.432,612.313,Female,296267,2009
0,AGE,18-22,23716.963,23874.98,23795.972,-158.017,Male,15204,2009
1,AGE,18-22,21893.942,21743.563,21818.752,150.379,Female,9538,2009
2,AGE,23-28,35020.314,35900.718,35460.516,-880.404,Male,55940,2009
3,AGE,23-28,29956.677,32190.718,31073.698,-2234.041,Female,46896,2009
4,AGE,29-36,48960.487,50510.498,49735.492,-1550.011,Male,92442,2009
5,AGE,29-36,39142.479,41236.698,40189.588,-2094.219,Female,69647,2009
6,AGE,37-45,58644.761,57930.044,58287.402,714.717,Male,122867,2009
7,AGE,37-45,44430.534,44148.155,44289.344,282.379,Female,91874,2009
8,AGE,46-55,60669.58,58694.917,59682.248,1974.663,Male,144638,2009
9,AGE,46-55,44968.389,44308.93,44638.66,659.459,Female,120164,2009
10,AGE,56-70,59424.73,54683.673,57054.202,4741.057,Male,93841,2009
11,AGE,56-70,45353.638,42941.69,44147.664,2411.948,Female,75437,2009
0,DIV,East North Central,52213.662,51190.391,51702.026,1023.271,Male,80160,2009
1,DIV,East North Central,39573.272,39545.296,39559.284,27.976,Female,62371,2009
2,DIV,East South Central,48494.071,47495.255,47994.663,998.816,Male,29829,2009
3,DIV,East South Central,36541.307,36185.828,36363.568,355.479,Female,24377,2009
4,DIV,Middle Atlantic,57351.013,56811.009,57081.011,540.004,Male,70847,2009
5,DIV,Middle Atlantic,44510.927,45452.425,44981.676,-941.498,Female,57817,2009
6,DIV,Mountain,51999.572,50490.673,51245.122,1508.899,Male,37785,2009
7,DIV,Mountain,40564.199,39862.302,40213.25,701.897,Female,27682,2009
8,DIV,New England,61705.835,59964.172,60835.004,1741.663,Male,25304,2009
9,DIV,New England,47127.463,47276.832,47202.148,-149.369,Female,20611,2009
10,DIV,Pacific,56575.941,56547.123,56561.532,28.818,Male,80098,2009
11,DIV,Pacific,45106.892,46218.745,45662.818,-1111.853,Female,59301,2009
12,DIV,South Atlantic,54578.343,52521.594,53549.968,2056.749,Male,101990,2009
13,DIV,South Atlantic,42306.471,41391.848,41849.159,914.623,Female,85498,2009
14,DIV,West North Central,49376.167,49059.271,49217.719,316.896,Male,37277,2009
15,DIV,West North Central,37103.329,37055.856,37079.592,47.473,Female,29146,2009
16,DIV,West South Central,52606.186,51059.174,51832.68,1547.012,Male,61642,2009
17,DIV,West South Central,38845.027,38385.833,38615.43,459.194,Female,46753,2009
0,SEX,Male,54861.844,53693.422,54277.633,1168.422,Male,510249,2010
1,SEX,Female,42317.431,42169.234,42243.332,148.197,Female,407065,2010
0,EDU,B.S. Degree,68486.622,63130.83,65808.726,5355.792,Male,113778,2010
1,EDU,B.S. Degree,52832.493,49789.761,51311.127,3042.732,Female,98901,2010
2,EDU,Highschool,39053.114,39319.742,39186.428,-266.628,Male,132925,2010
3,EDU,Highschool,29954.488,29936.66,29945.574,17.828,Female,89057,2010
4,EDU,M.S. Degree,84647.44,72350.361,78498.9,12297.079,Male,44469,2010
5,EDU,M.S. Degree,67134.861,60967.5,64051.18,6167.361,Female,47855,2010
6,EDU,No Highschool,30695.218,30153.461,30424.34,541.757,Male,42244,2010
7,EDU,No Highschool,24070.539,24095.367,24082.953,-24.828,Female,18766,2010
8,EDU,PhD,111989.938,106195.181,109092.56,5794.757,Male,24512,2010
9,EDU,PhD,84081.542,81710.104,82895.823,2371.438,Female,14892,2010
10,EDU,Some College,47293.687,47252.551,47273.119,41.136,Male,152321,2010
11,EDU,Some College,36346.193,36256.616,36301.405,89.577,Female,137594,2010
0,JOB,Art,61886.821,54126.04,58006.43,7760.781,Male,38199,2010
1,JOB,Art,51115.407,45655.368,48385.388,5460.039,Female,68028,2010
2,JOB,Business,79242.703,74736.546,76989.624,4506.157,Male,92582,2010
3,JOB,Business,59836.187,57068.277,58452.232,2767.91,Female,73019,2010
4,JOB,Healthcare,99088.34,66690.059,82889.199,32398.281,Male,15413,2010
5,JOB,Healthcare,74410.295,56473.595,65441.945,17936.7,Female,41183,2010
6,JOB,Maintenance,41444.091,42014.426,41729.258,-570.335,Male,81031,2010
7,JOB,Maintenance,33816.582,34966.342,34391.462,-1149.76,Female,3239,2010
8,JOB,Military,44128.564,43898.328,44013.446,230.236,Male,3928,2010
9,JOB,Military,34120.909,34624.447,34372.678,-503.538,Female,530,2010
10,JOB,Production,39991.326,38741.432,39366.379,1249.894,Male,46445,2010
11,JOB,Production,28983.785,28269.173,28626.479,714.612,Female,16078,2010
12,JOB,Sales,48983.318,45615.248,47299.283,3368.07,Male,84704,2010
13,JOB,Sales,35770.754,34123.018,34946.886,1647.736,Female,132711,2010
14,JOB,Science,74174.598,73532.374,73853.486,642.224,Male,47280,2010
15,JOB,Science,61429.164,61398.01,61413.587,31.154,Female,15392,2010
16,JOB,Services,36637.903,34868.439,35753.171,1769.464,Male,55566,2010
17,JOB,Services,27077.855,26160.457,26619.156,917.398,Female,49898,2010
18,JOB,Transport,37352.159,37696.537,37524.348,-344.378,Male,45101,2010
19,JOB,Transport,28690.153,28902.843,28796.498,-212.69,Female,6987,2010
0,RACE,Asian,63330.044,58882.963,61106.504,4447.081,Male,25398,2010
1,RACE,Asian,53050.939,50643.503,51847.221,2407.436,Female,21378,2010
2,RACE,Black,42397.44,43861.035,43129.238,-1463.595,Male,36589,2010
3,RACE,Black,36081.915,37731.782,36906.848,-1649.867,Female,44476,2010
4,RACE,Hispanic,38098.316,41643.663,39870.989,-3545.347,Male,63983,2010
5,RACE,Hispanic,30522.541,34211.529,32367.035,-3688.988,Female,43034,2010
6,RACE,Mixed,50008.957,50347.253,50178.105,-338.296,Male,6969,2010
7,RACE,Mixed,40835.107,41487.667,41161.387,-652.56,Female,5931,2010
8,RACE,Native,43452.868,43343.698,43398.283,109.17,Male,3423,2010
9,RACE,Native,36157.977,35988.499,36073.238,169.478,Female,3284,2010
10,RACE,White,58570.018,56803.683,57686.85,1766.335,Male,373887,2010
11,RACE,White,44300.994,43494.63,43897.812,806.364,Female,288962,2010
0,AGE,18-22,23395.975,23686.54,23541.258,-290.565,Male,13390,2010
1,AGE,18-22,22037.47,21641.465,21839.468,396.005,Female,8605,2010
2,AGE,23-28,34473.713,35703.882,35088.798,-1230.169,Male,52644,2010
3,AGE,23-28,30068.027,32228.211,31148.119,-2160.184,Female,45325,2010
4,AGE,29-36,48235.319,49684.329,48959.824,-1449.01,Male,90347,2010
5,AGE,29-36,39145.133,41474.057,40309.595,-2328.924,Female,69436,2010
6,AGE,37-45,59210.966,58572.568,58891.767,638.398,Male,117918,2010
7,AGE,37-45,44783.566,44758.89,44771.228,24.676,Female,88866,2010
8,AGE,46-55,61705.126,59769.41,60737.268,1935.716,Male,141451,2010
9,AGE,46-55,45842.59,44825.702,45334.146,1016.888,Female,117514,2010
10,AGE,56-70,61343.378,56336.456,58839.917,5006.922,Male,94499,2010
11,AGE,56-70,46693.933,43891.762,45292.848,2802.171,Female,77319,2010
0,DIV,East North Central,53258.072,52027.799,52642.936,1230.273,Male,77253,2010
1,DIV,East North Central,40507.746,40154.95,40331.348,352.796,Female,60805,2010
2,DIV,East South Central,49125.179,48162.46,48643.82,962.719,Male,28476,2010
3,DIV,East South Central,36694.757,36260.181,36477.469,434.576,Female,23534,2010
4,DIV,Middle Atlantic,57398.082,56870.219,57134.15,527.863,Male,68602,2010
5,DIV,Middle Atlantic,44886.256,45620.604,45253.43,-734.348,Female,56504,2010
6,DIV,Mountain,52923.559,51168.455,52046.007,1755.104,Male,36684,2010
7,DIV,Mountain,41180.094,40431.678,40805.886,748.416,Female,27245,2010
8,DIV,New England,61153.136,59876.474,60514.805,1276.662,Male,25001,2010
9,DIV,New England,47724.241,48218.783,47971.512,-494.542,Female,20588,2010
10,DIV,Pacific,59668.815,59463.59,59566.202,205.225,Male,78987,2010
11,DIV,Pacific,46771.608,47682.696,47227.152,-911.088,Female,58950,2010
