,WAG,SEX,AGE,EDU,JOB,RACE,WAGP_count,WAGP_mean,Year
0,31174.95989078406,Female,18-25,BS,ART,ASN,81,32097.57131768982,2008
1,41950.93879707269,Female,26-35,BS,ART,ASN,282,41567.792596467676,2008
2,45541.52584394292,Female,36-45,BS,ART,ASN,154,43589.54383563168,2008
3,42958.631870469944,Female,46-55,BS,ART,ASN,118,44855.01669710288,2008
4,39670.683496028905,Female,56-70,BS,ART,ASN,89,40119.766755622324,2008
5,31581.81132303536,Female,18-25,BS,ART,BLK,138,31280.553638135494,2008
6,35857.36957647949,Female,26-35,BS,ART,BLK,600,36042.9342805138,2008
7,36958.0669882096,Female,36-45,BS,ART,BLK,508,38525.77781193355,2008
8,40117.15168482171,Female,46-55,BS,ART,BLK,510,40048.93837851898,2008
9,38379.12931650076,Female,56-70,BS,ART,BLK,279,39804.979052161325,2008
10,29859.299337343014,Female,18-25,BS,ART,HSP/NTV,211,30250.05701589461,2008
11,37000.43620759583,Female,26-35,BS,ART,HSP/NTV,778,37501.9818470923,2008
12,40402.504999191864,Female,36-45,BS,ART,HSP/NTV,557,40291.78556047945,2008
13,39301.569095366336,Female,46-55,BS,ART,HSP/NTV,375,39338.432067933296,2008
14,45621.92496026025,Female,56-70,BS,ART,HSP/NTV,152,42501.73885460371,2008
15,30037.000139726235,Female,18-25,BS,ART,WHT/MIX,2227,30234.0783311923,2008
16,36423.3531124013,Female,26-35,BS,ART,WHT/MIX,5630,36497.60013104536,2008
17,40651.41881478299,Female,36-45,BS,ART,WHT/MIX,4238,40508.21011608752,2008
18,42969.25113644675,Female,46-55,BS,ART,WHT/MIX,4773,42776.399020370634,2008
19,44833.26096070549,Female,56-70,BS,ART,WHT/MIX,2878,44490.21337365045,2008
20,44897.0078946731,Female,18-25,BS,BUS,ASN,163,44606.8845181533,2008
21,57141.03139699231,Female,26-35,BS,BUS,ASN,678,54852.74572690277,2008
22,62309.8124223015,Female,36-45,BS,BUS,ASN,559,60069.181016532246,2008
23,60528.04800546155,Female,46-55,BS,BUS,ASN,403,60314.831773590406,2008
24,53568.33080106468,Female,56-70,BS,BUS,ASN,212,56657.916638103314,2008
25,37705.661579329135,Female,18-25,BS,BUS,BLK,89,37590.02102483877,2008
26,43925.83225608871,Female,26-35,BS,BUS,BLK,563,44762.58527100286,2008
27,53884.01267815774,Female,36-45,BS,BUS,BLK,722,54651.58515527784,2008
28,60916.16944739555,Female,46-55,BS,BUS,BLK,575,58412.60496297131,2008
29,60445.12727764052,Female,56-70,BS,BUS,BLK,201,58862.493014279076,2008
30,35949.46722979111,Female,18-25,BS,BUS,HSP/NTV,143,36973.13998035531,2008
31,49480.67754099993,Female,26-35,BS,BUS,HSP/NTV,652,49336.95595317918,2008
32,56743.22871009522,Female,36-45,BS,BUS,HSP/NTV,515,57085.60928457781,2008
