,Variable,Category,Total_Count,M_Wage_f,M_Wage_m,M_Wage_Avg,M_Wage_Diff,M_Count,M_Pct_Ct,F_Wage_m,F_Wage_f,F_Wage_Avg,F_Wage_Diff,F_Count,F_Pct_Ct,F_M_Ratio_f,F_M_Ratio_m,F_M_Ratio_Avg,F_M_Ratio_Diff,Year
0,SEX,Female,974921,51558.575,52137.537,51848.056,578.962,550766,0.5649339792660123,39993.295,40137.101,40065.198,-143.806,424155,0.4350660207339877,0.778,0.767,0.772,0.011,2008
0,EDU,B.S._Degree,216533,60359.201,65426.985,62893.093,5067.784,117885,0.5444204809428586,50635.976,47705.879,49170.928,2930.097,98648,0.4555795190571414,0.79,0.774,0.782,0.016,2008
1,EDU,Highschool,244881,39529.912,38793.874,39161.893,-736.038,147314,0.6015738256540932,29080.62,29621.453,29351.037,-540.833,97567,0.39842617434590677,0.749,0.75,0.75,-0.001,2008
2,EDU,M.S._Degree,89541,68521.209,79274.503,73897.856,10753.294,44175,0.49334941535162663,63481.779,57809.453,60645.616,5672.326,45366,0.5066505846483734,0.844,0.801,0.822,0.043,2008
3,EDU,No_Highschool,71753,31375.36,31462.016,31418.688,86.656,50313,0.7011971624879796,23836.655,24519.846,24178.251,-683.191,21440,0.2988028375120204,0.782,0.758,0.77,0.024,2008
4,EDU,PhD_or_Prof,37499,95345.986,99987.131,97666.558,4641.145,23410,0.6242833142217126,77890.286,75666.385,76778.335,2223.901,14089,0.37571668577828743,0.794,0.779,0.786,0.015,2008
5,EDU,Some_College,314714,47149.836,46891.457,47020.646,-258.379,167669,0.5327662576180278,35467.08,35457.402,35462.241,9.678,147045,0.4672337423819722,0.752,0.756,0.754,-0.004,2008
0,JOB,Art,106227,51271.556,57711.517,54491.536,6439.961,38459,0.36204543101094827,47702.496,43367.383,45534.94,4335.113,67768,0.6379545689890518,0.846,0.827,0.836,0.019,2008
1,JOB,Business,170443,70869.536,74778.476,72824.006,3908.94,96211,0.5644761005145416,56853.296,54438.5,55645.898,2414.796,74232,0.4355238994854585,0.768,0.76,0.764,0.008,2008
2,JOB,Healthcare,54571,62666.061,86557.543,74611.802,23891.482,14489,0.265507320738121,67216.398,52867.753,60042.076,14348.645,40082,0.734492679261879,0.844,0.777,0.81,0.067,2008
